City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
602,Sao Joao Da Barra,BR,77.0,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
603,Roebourne,AU,76.23,clear sky,-20.78,117.13,Harding River Caravan Park
605,Macau,MO,75.2,light rain,22.2,113.55,Grand Emperor Hotel
608,Pangkalanbuun,ID,76.73,broken clouds,-2.68,111.62,Grand Kecubung Hotel
614,Puri,IN,80.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
618,Candido Mendes,BR,84.15,broken clouds,-1.45,-45.72,Quebrada Do Mlk PJL
620,Calabozo,VE,76.33,broken clouds,8.92,-67.43,Hotel Giardini
628,Phuket,TH,84.0,few clouds,8.0,98.25,The Surin Phuket
634,Belmonte,BR,80.6,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
636,Urubicha,BO,84.25,scattered clouds,-15.38,-62.95,
638,Canutama,BR,75.25,overcast clouds,-6.53,-64.38,Hotel Jhennifer
639,Cap Malheureux,MU,77.0,light rain,-19.98,57.61,Pereybere Hotel & Spa
643,Soyo,AO,80.31,light rain,-6.13,12.37,Hotel Mpampa
649,Xapuri,BR,77.0,broken clouds,-10.65,-68.5,Restaurante Viana
650,Kismayo,SO,84.9,scattered clouds,-0.36,42.55,Agan-Hotel
657,Kinkala,CG,82.4,broken clouds,-4.36,14.76,Hotel la Vernande
661,Anloga,GH,89.6,few clouds,5.79,0.9,Pin Drop Hotel
669,Gat,IL,80.01,clear sky,31.61,34.76,OlusHome
670,Mayuge,UG,76.35,moderate rain,0.46,33.48,Mayuge Guest House
671,Shorkot,PK,78.24,few clouds,31.91,70.88,Saggu Janubi
676,Haikou,CN,75.2,clear sky,20.05,110.34,Sun City Restaurant
678,Pundaguitan,PH,83.71,light rain,6.37,126.17,Leonardo Family Beach House 1
688,Dwarka,IN,85.89,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
690,Mahibadhoo,MV,84.79,scattered clouds,3.78,72.97,Omadhoo Inn
691,Martapura,ID,80.6,overcast clouds,-3.42,114.85,Montana Hotel Syariah
695,Sam Roi Yot,TH,82.4,few clouds,12.27,99.87,ซีบรีชรีสอร์ท สามร้อยยอด
697,Namibe,AO,78.8,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
699,Valenca,BR,82.09,few clouds,-13.37,-39.07,Hotel Galeão
700,Ewo,CG,84.13,light rain,-0.87,14.82,Residence Elonda Ewo
705,Tambura,SS,81.79,broken clouds,5.6,27.47,Guest hous Tambura
706,Sarangani,PH,83.75,light rain,5.4,125.46,Ballistic Islet
712,Bonthe,SL,83.88,broken clouds,7.53,-12.51,Bonthe Holiday Village
713,Richards Bay,ZA,76.64,broken clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
715,Puerto Ayacucho,VE,77.54,broken clouds,5.66,-67.62,Posada Turistica Manapiare
722,Zaria,NG,86.79,few clouds,11.11,7.72,A.B.U Hotels
724,Mindelo,CV,82.4,scattered clouds,16.89,-24.98,Hotel Gaudi
