City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Baykit,61.67,96.37,1.02,89,28,2.62,RU,2020-10-31 17:38:22
70,Kapaa,22.08,-159.32,69.8,88,1,3.36,US,2020-10-31 17:37:55
71,Luwuk,-0.95,122.79,77.56,72,99,4.12,ID,2020-10-31 17:43:50
72,Yenagoa,4.92,6.26,77.94,88,85,5.44,NG,2020-10-31 17:33:44
73,Aksu,41.12,80.26,42.33,59,0,3.18,CN,2020-10-31 17:38:12
74,Arraial Do Cabo,-22.97,-42.03,69.8,94,90,5.82,BR,2020-10-31 17:38:07
75,Talcahuano,-36.72,-73.12,57.2,82,90,10.29,CL,2020-10-31 17:43:50
76,Lebu,-37.62,-73.65,60.53,64,8,10.96,CL,2020-10-31 17:38:11
77,Vila Do Maio,15.13,-23.22,82.4,65,75,21.92,CV,2020-10-31 17:43:51
78,Riyadh,24.69,46.72,75.2,33,0,4.7,SA,2020-10-31 17:34:41
79,Kruisfontein,-34.0,24.73,63.0,76,44,1.01,ZA,2020-10-31 17:33:10
80,Sindou,10.67,-5.17,82.63,34,15,1.23,BF,2020-10-31 17:43:51
81,Avarua,-21.21,-159.78,71.6,88,100,12.75,CK,2020-10-31 17:35:57
82,Yumen,40.28,97.2,34.57,65,73,12.08,CN,2020-10-31 17:43:51
83,Puerto Ayora,-0.74,-90.35,75.2,73,75,11.41,EC,2020-10-31 17:36:52
84,Port Augusta,-32.5,137.77,55.4,82,0,6.93,AU,2020-10-31 17:38:07
85,Dikson,73.51,80.55,17.22,97,100,13.73,RU,2020-10-31 17:37:01
86,Jamestown,42.1,-79.24,42.01,64,90,10.29,US,2020-10-31 17:37:58
87,Norman Wells,65.28,-126.83,-4.0,83,20,4.7,CA,2020-10-31 17:33:49
88,Vengerovo,55.68,76.75,32.59,93,30,10.92,RU,2020-10-31 17:43:51
89,Dom Pedro,-4.48,-44.45,101.17,27,95,2.19,BR,2020-10-31 17:43:51
90,Souillac,-20.52,57.52,69.8,73,40,6.93,MU,2020-10-31 17:33:22
91,Dubovka,49.06,44.83,53.6,81,75,8.95,RU,2020-10-31 17:43:52
92,Ekhabi,53.51,142.97,33.94,91,96,7.29,RU,2020-10-31 17:43:52
93,Sorland,67.67,12.69,47.14,79,18,18.92,NO,2020-10-31 17:38:24
94,Mataura,-46.19,168.86,46.99,81,3,5.01,NZ,2020-10-31 17:37:58
95,Hamilton,39.18,-84.53,55.0,53,1,10.29,US,2020-10-31 17:36:33
96,Brae,60.4,-1.35,53.6,93,100,34.45,GB,2020-10-31 17:36:20
97,Teguise,29.06,-13.56,77.0,73,0,13.87,ES,2020-10-31 17:43:52
98,Airai,-8.93,125.41,60.37,79,18,1.41,TL,2020-10-31 17:34:36
99,Saskylakh,71.92,114.08,-4.85,83,1,6.2,RU,2020-10-31 17:38:15
100,Morondava,-20.28,44.28,79.83,70,24,8.99,MG,2020-10-31 17:38:03
101,Neiafu,-18.65,-173.98,75.2,94,20,9.17,TO,2020-10-31 17:43:52
102,Balkanabat,39.51,54.37,67.93,24,25,6.29,TM,2020-10-31 17:43:52
103,Komsomolskiy,40.43,71.72,42.8,38,0,6.93,UZ,2020-10-31 17:33:36
104,Launceston,-41.45,147.17,50.0,93,40,10.29,AU,2020-10-31 17:43:52
105,Alofi,-19.06,-169.92,73.4,94,81,10.29,NU,2020-10-31 17:38:07
106,Geraldton,-28.77,114.6,68.0,77,40,13.87,AU,2020-10-31 17:38:17
107,Saint-Philippe,-21.36,55.77,68.0,64,0,5.82,RE,2020-10-31 17:38:05
108,Ponta Do Sol,32.67,-17.1,71.6,83,20,12.75,PT,2020-10-31 17:36:08
109,Nyandoma,61.67,40.2,28.33,98,12,2.57,RU,2020-10-31 17:43:53
110,Nome,64.5,-165.41,14.0,78,1,4.7,US,2020-10-31 17:38:22
111,Meulaboh,4.14,96.13,78.33,83,100,3.51,ID,2020-10-31 17:37:58
112,Ancud,-41.87,-73.82,70.0,52,0,6.93,CL,2020-10-31 17:37:09
113,Khatanga,71.97,102.5,-7.46,87,94,7.67,RU,2020-10-31 17:38:00
114,Zhigansk,66.77,123.37,-8.01,90,88,1.81,RU,2020-10-31 17:38:25
115,Sitka,57.05,-135.33,50.0,87,90,23.04,US,2020-10-31 17:36:18
116,Puerto Del Rosario,28.5,-13.86,77.0,61,0,13.87,ES,2020-10-31 17:43:53
117,Ketchikan,55.34,-131.65,48.2,100,90,23.04,US,2020-10-31 17:38:09
118,Stokke,59.22,10.3,45.0,100,90,3.36,NO,2020-10-31 17:43:53
119,Torbay,47.67,-52.73,37.0,74,90,16.11,CA,2020-10-31 17:35:15
120,Njombe,-9.33,34.77,56.7,86,28,4.45,TZ,2020-10-31 17:43:53
121,Kenai,60.55,-151.26,8.6,78,1,9.17,US,2020-10-31 17:43:53
122,Wembley,-31.93,115.8,64.99,77,75,10.29,AU,2020-10-31 17:40:21
123,Provideniya,64.38,-173.3,21.22,87,95,6.73,RU,2020-10-31 17:37:57
124,Olinda,-8.01,-34.86,84.2,70,40,12.75,BR,2020-10-31 17:36:48
125,Tiznit,29.58,-9.5,73.53,24,0,3.13,MA,2020-10-31 17:43:54
126,Chuy,-33.7,-53.46,64.47,62,43,9.24,UY,2020-10-31 17:33:53
127,Phalodi,27.13,72.37,74.55,18,0,3.78,IN,2020-10-31 17:43:54
128,Mahebourg,-20.41,57.7,69.8,73,40,6.93,MU,2020-10-31 17:34:14
129,Port-Gentil,-0.72,8.78,82.4,78,40,12.75,GA,2020-10-31 17:34:30
130,Lagoa,39.05,-27.98,68.56,93,70,24.63,PT,2020-10-31 17:43:54
131,Walvis Bay,-22.96,14.51,64.4,59,61,8.05,NA,2020-10-31 17:43:54
132,Dingle,11.0,122.67,75.65,83,100,6.6,PH,2020-10-31 17:38:10
133,Lasa,46.62,10.7,50.0,40,20,6.93,IT,2020-10-31 17:43:54
134,Caravelas,-17.71,-39.25,73.71,95,100,1.95,BR,2020-10-31 17:43:54
135,Acajutla,13.59,-89.83,86.0,58,20,2.24,SV,2020-10-31 17:43:55
136,Nalut,30.33,10.85,64.04,41,0,9.42,LY,2020-10-31 17:43:55
137,Solnechnyy,50.72,136.63,34.05,91,100,5.59,RU,2020-10-31 17:40:12
138,Pevek,69.7,170.31,12.78,96,99,10.04,RU,2020-10-31 17:33:15
139,Beyneu,45.32,55.2,48.58,56,93,16.98,KZ,2020-10-31 17:43:55
140,Melville,40.79,-73.42,48.0,52,1,4.7,US,2020-10-31 17:42:00
141,Taoudenni,22.68,-3.98,84.07,14,100,7.83,ML,2020-10-31 17:38:17
142,Mount Gambier,-37.83,140.77,42.8,100,90,1.12,AU,2020-10-31 17:38:06
143,Lorengau,-2.02,147.27,80.96,77,13,5.26,PG,2020-10-31 17:33:45
144,Kyzyl-Suu,42.34,78.01,36.09,61,0,9.08,KG,2020-10-31 17:43:55
145,Rwamagana,-1.95,30.43,66.2,82,20,3.36,RW,2020-10-31 17:43:55
146,Yongchang,30.04,119.73,62.01,86,28,1.01,CN,2020-10-31 17:43:56
147,Semey,50.41,80.23,34.65,85,0,6.15,KZ,2020-10-31 17:43:56
148,Singaraja,-8.11,115.09,79.63,70,95,2.91,ID,2020-10-31 17:43:56
149,Serebryansk,49.69,83.29,30.2,100,4,2.98,KZ,2020-10-31 17:43:56
150,Clyde River,70.47,-68.59,15.8,92,90,12.75,CA,2020-10-31 17:33:12
151,Guerrero Negro,27.98,-114.06,77.58,36,36,5.17,MX,2020-10-31 17:38:20
152,Saint George,37.1,-113.58,53.6,25,1,1.63,US,2020-10-31 17:42:18
153,Tuktoyaktuk,69.45,-133.04,-5.8,83,40,5.82,CA,2020-10-31 17:34:06
154,Wasilla,61.58,-149.44,6.8,84,1,3.36,US,2020-10-31 17:43:56
155,Sharkan,57.3,53.87,37.0,93,100,5.99,RU,2020-10-31 17:43:56
156,Kashan,33.98,51.44,60.42,32,0,2.01,IR,2020-10-31 17:43:56
157,Pran Buri,12.38,99.91,77.61,84,80,4.27,TH,2020-10-31 17:43:56
158,Aswan,24.09,32.91,81.64,28,0,11.39,EG,2020-10-31 17:36:24
159,Machado,-21.67,-45.92,66.81,76,100,5.14,BR,2020-10-31 17:43:57
160,Manacor,39.57,3.21,68.0,72,0,2.24,ES,2020-10-31 17:43:57
161,Korfovskiy,48.22,135.06,41.0,75,75,6.71,RU,2020-10-31 17:38:23
162,Ankazobe,-18.32,47.12,59.0,77,20,9.17,MG,2020-10-31 17:43:57
163,Filingue,14.35,3.32,91.17,12,0,7.61,NE,2020-10-31 17:43:57
164,Ilulissat,69.22,-51.1,17.6,67,75,6.93,GL,2020-10-31 17:38:08
165,Sydney,-33.87,151.21,59.0,87,75,10.29,AU,2020-10-31 17:41:34
166,Upata,8.01,-62.4,93.0,61,10,3.0,VE,2020-10-31 17:43:57
167,Hovd,48.01,91.64,27.0,85,0,1.81,MN,2020-10-31 17:38:29
168,Kavaratti,10.57,72.64,82.8,66,64,2.24,IN,2020-10-31 17:34:19
169,Thompson,55.74,-97.86,15.8,78,90,19.46,CA,2020-10-31 17:36:52
170,Minab,27.15,57.08,71.6,68,0,6.93,IR,2020-10-31 17:43:57
171,Chambersburg,39.94,-77.66,51.01,53,51,1.99,US,2020-10-31 17:43:57
172,Kita,13.03,-9.49,87.15,25,49,4.5,ML,2020-10-31 17:43:57
173,Laguna,38.42,-121.42,59.0,47,1,4.18,US,2020-10-31 17:36:27
174,Umm Kaddadah,13.6,26.69,88.72,18,0,9.84,SD,2020-10-31 17:43:58
175,San Carlos De Bariloche,-41.15,-71.31,73.83,24,0,6.22,AR,2020-10-31 17:41:13
176,Lima,-12.04,-77.03,68.0,72,40,8.05,PE,2020-10-31 17:39:20
177,Umm Lajj,25.02,37.27,78.87,71,0,4.21,SA,2020-10-31 17:43:58
178,Mapiripan,2.89,-72.13,91.74,53,82,5.21,CO,2020-10-31 17:43:58
179,Dryden,49.78,-92.75,39.2,90,90,14.99,CA,2020-10-31 17:41:33
180,Volot,57.93,30.7,41.58,86,71,3.78,RU,2020-10-31 17:43:58
181,Samarai,-10.62,150.67,80.55,84,72,9.31,PG,2020-10-31 17:36:07
182,Katsuura,35.13,140.3,53.6,71,0,8.05,JP,2020-10-31 17:38:01
183,Bayshore Gardens,27.43,-82.59,82.0,65,90,12.75,US,2020-10-31 17:43:58
184,Sola,-13.88,167.55,80.82,81,49,21.45,VU,2020-10-31 17:43:58
185,Arlit,18.74,7.39,84.36,16,0,19.1,NE,2020-10-31 17:43:58
186,Mastic Beach,40.77,-72.85,46.99,42,1,4.7,US,2020-10-31 17:43:58
187,Santa Rosa,14.31,121.11,80.6,78,75,3.36,PH,2020-10-31 17:43:58
188,Svetlaya,46.54,138.33,40.87,69,100,3.69,RU,2020-10-31 17:43:59
189,Uruguaiana,-29.75,-57.09,77.0,41,20,23.04,BR,2020-10-31 17:43:59
190,Padang,-0.95,100.35,78.08,75,100,4.03,ID,2020-10-31 17:38:16
191,Urumqi,43.8,87.6,39.2,55,0,4.47,CN,2020-10-31 17:43:59
192,Yellowknife,62.46,-114.35,19.99,85,90,17.22,CA,2020-10-31 17:34:46
193,Ogbomosho,8.13,4.25,91.4,33,0,12.75,NG,2020-10-31 17:43:59
194,San Quintin,30.48,-115.95,74.37,41,77,5.44,MX,2020-10-31 17:37:51
195,Vilshofen,48.63,13.18,51.01,100,100,2.39,DE,2020-10-31 17:43:59
196,Mar Del Plata,-38.0,-57.56,71.6,37,0,5.82,AR,2020-10-31 17:35:41
197,Tasiilaq,65.61,-37.64,32.0,97,75,4.7,GL,2020-10-31 17:35:25
198,Karratha,-20.74,116.85,70.0,83,0,10.92,AU,2020-10-31 17:43:59
199,Ngunguru,-35.62,174.5,57.0,96,14,6.31,NZ,2020-10-31 17:38:28
200,Seguela,7.96,-6.67,81.46,65,20,3.53,CI,2020-10-31 17:43:59
201,Bengkulu,-3.8,102.27,76.59,87,100,3.49,ID,2020-10-31 17:33:47
202,Mumford,5.26,-0.76,79.75,84,14,8.86,GH,2020-10-31 17:40:18
203,Cayenne,4.93,-52.33,89.6,62,75,12.75,GF,2020-10-31 17:38:00
204,Linxia,35.6,103.21,40.19,67,91,2.46,CN,2020-10-31 17:43:36
205,La Sarre,48.8,-79.2,31.57,90,47,12.93,CA,2020-10-31 17:39:26
206,Kulhudhuffushi,6.62,73.07,83.43,69,99,6.22,MV,2020-10-31 17:43:59
207,Sao Filipe,14.9,-24.5,81.86,60,64,14.2,CV,2020-10-31 17:33:48
208,Mormugao,15.4,73.8,80.6,88,40,4.7,IN,2020-10-31 17:44:00
209,Noumea,-22.28,166.46,77.0,57,0,8.05,NC,2020-10-31 17:44:00
210,Sao Paulo De Olivenca,-3.38,-68.87,75.88,93,100,3.69,BR,2020-10-31 17:44:00
211,San Patricio,28.02,-97.52,75.99,53,20,5.82,US,2020-10-31 17:36:09
212,Henties Bay,-22.12,14.28,57.0,86,26,4.0,NA,2020-10-31 17:44:00
213,Minot,48.23,-101.3,39.2,48,90,32.21,US,2020-10-31 17:44:00
214,Shumskiy,54.83,99.13,17.91,87,83,4.54,RU,2020-10-31 17:44:00
215,Smithers,54.78,-127.17,32.0,88,90,3.36,CA,2020-10-31 17:38:05
216,Avera,33.19,-82.53,62.6,59,90,8.05,US,2020-10-31 17:44:00
217,Amboasary,-25.03,46.38,71.6,88,20,21.92,MG,2020-10-31 17:44:00
218,Cabo San Lucas,22.89,-109.91,86.0,61,40,4.7,MX,2020-10-31 17:34:19
219,Vila,42.03,-8.16,60.01,92,100,5.01,PT,2020-10-31 17:44:00
220,Inuvik,68.35,-133.72,-0.4,84,70,3.36,CA,2020-10-31 17:42:39
221,Nanortalik,60.14,-45.24,28.65,90,7,17.83,GL,2020-10-31 17:37:27
222,Irupi,-20.35,-41.64,63.9,90,100,4.74,BR,2020-10-31 17:44:01
223,Tabou,4.42,-7.35,79.3,83,66,6.33,CI,2020-10-31 17:38:18
224,Wick,58.43,-3.08,53.6,66,77,32.21,GB,2020-10-31 17:44:01
225,Hambantota,6.12,81.12,79.75,81,29,12.41,LK,2020-10-31 17:33:09
226,Gamba,-2.65,10.0,77.52,88,99,6.87,GA,2020-10-31 17:38:10
227,Arbagar,51.94,116.28,26.47,96,100,3.36,RU,2020-10-31 17:44:01
228,Kudahuvadhoo,2.67,72.89,83.32,71,40,5.21,MV,2020-10-31 17:36:17
229,Agnibilekrou,7.13,-3.2,80.44,67,64,1.43,CI,2020-10-31 17:44:01
230,Kyra,49.58,111.98,23.11,85,51,8.77,RU,2020-10-31 17:44:01
231,Vardo,70.37,31.11,35.87,85,75,22.03,NO,2020-10-31 17:38:11
232,Takoradi,4.88,-1.76,79.83,83,27,7.0,GH,2020-10-31 17:44:01
233,Yamethin,20.43,96.15,75.33,87,82,2.01,MM,2020-10-31 17:44:01
234,Ust-Koksa,50.27,85.61,22.48,89,9,1.07,RU,2020-10-31 17:37:57
235,Berlevag,70.86,29.09,32.95,91,86,11.3,NO,2020-10-31 17:37:58
236,Stromness,58.97,-3.3,53.6,76,82,34.45,GB,2020-10-31 17:44:02
237,Liku,-0.73,119.89,74.86,82,80,2.13,ID,2020-10-31 17:44:02
238,Whitehorse,60.72,-135.05,12.99,85,90,5.82,CA,2020-10-31 17:41:11
239,Kralendijk,12.15,-68.27,87.8,70,75,14.99,BQ,2020-10-31 17:44:02
240,Manaure,11.78,-72.44,85.26,69,78,10.0,CO,2020-10-31 17:44:02
241,Gravdal,68.12,13.5,46.47,79,15,18.66,NO,2020-10-31 17:44:02
242,Nabire,-3.37,135.48,76.39,89,85,4.16,ID,2020-10-31 17:38:27
243,Tianpeng,30.99,103.94,66.0,1,100,2.71,CN,2020-10-31 17:44:02
244,Edd,13.93,41.69,86.85,49,0,18.32,ER,2020-10-31 17:44:02
245,Rio Branco,-9.97,-67.81,69.8,100,75,3.36,BR,2020-10-31 17:44:02
246,Ossora,59.24,163.07,34.84,89,100,5.01,RU,2020-10-31 17:38:15
247,Little Current,45.98,-81.92,41.0,65,42,21.92,CA,2020-10-31 17:44:02
248,Izhma,65.01,53.91,33.93,90,99,9.66,RU,2020-10-31 17:44:03
249,Husavik,66.04,-17.34,41.0,73,0,12.75,IS,2020-10-31 17:44:03
250,Yulara,-25.24,130.99,68.0,24,57,5.82,AU,2020-10-31 17:44:03
251,Shadrinsk,56.09,63.63,34.72,88,99,7.38,RU,2020-10-31 17:44:03
252,Mareeba,-17.0,145.43,71.6,94,1,1.95,AU,2020-10-31 17:44:03
253,Guanica,17.97,-66.91,89.01,64,95,8.01,PR,2020-10-31 17:44:03
254,Waingapu,-9.66,120.26,80.31,72,99,1.19,ID,2020-10-31 17:38:19
255,Tsiroanomandidy,-18.77,46.03,74.41,65,76,2.04,MG,2020-10-31 17:38:16
256,Santa Catarina De Tepehuanes,25.35,-105.73,74.19,29,3,1.88,MX,2020-10-31 17:44:03
257,Romans-Sur-Isere,45.05,5.06,60.8,77,0,8.05,FR,2020-10-31 17:38:31
258,Codrington,-38.27,141.97,46.69,89,16,2.93,AU,2020-10-31 17:44:03
259,Ahipara,-35.17,173.17,62.4,95,38,4.29,NZ,2020-10-31 17:38:11
260,Pringsewu,-5.36,104.97,74.12,94,100,4.45,ID,2020-10-31 17:44:03
261,Chokurdakh,70.63,147.92,-3.53,93,97,7.83,RU,2020-10-31 17:37:06
262,Sistranda,63.73,8.83,48.2,66,75,23.04,NO,2020-10-31 17:38:22
263,Payo,-3.75,103.64,73.89,96,100,1.45,ID,2020-10-31 17:38:20
264,Portland,45.52,-122.68,44.01,81,20,5.82,US,2020-10-31 17:32:58
265,Faanui,-16.48,-151.75,78.64,75,34,20.58,PF,2020-10-31 17:34:01
266,Nioro,13.35,-15.75,88.79,36,100,3.8,GM,2020-10-31 17:44:04
267,Victor Harbor,-35.57,138.62,55.99,78,5,1.01,AU,2020-10-31 17:38:25
268,Preobrazheniye,42.9,133.91,51.69,84,77,11.74,RU,2020-10-31 17:44:04
269,Luderitz,-26.65,15.16,68.65,42,32,25.41,NA,2020-10-31 17:33:12
270,Udachnyy,66.42,112.4,3.2,84,0,2.24,RU,2020-10-31 17:38:31
271,Asosa,10.07,34.53,62.49,92,74,4.34,ET,2020-10-31 17:44:04
272,Razdolnaya,45.38,39.56,62.6,72,20,8.95,RU,2020-10-31 17:44:04
273,Toccoa,34.58,-83.33,59.0,51,1,8.05,US,2020-10-31 17:44:04
274,Skjervoy,70.03,20.97,43.5,69,98,12.91,NO,2020-10-31 17:44:04
275,Elat,29.56,34.95,84.2,48,0,11.41,IL,2020-10-31 17:42:11
276,Kaitangata,-46.28,169.85,46.99,78,2,3.0,NZ,2020-10-31 17:37:43
277,Iqaluit,63.75,-68.51,21.2,79,90,3.36,CA,2020-10-31 17:38:03
278,Margate,51.38,1.39,54.0,81,62,5.99,GB,2020-10-31 17:44:04
279,Severo-Kurilsk,50.68,156.12,42.39,73,100,25.52,RU,2020-10-31 17:33:38
280,Fortuna,40.6,-124.16,50.0,81,1,4.45,US,2020-10-31 17:38:03
281,Poso,-1.4,120.75,82.0,71,84,4.07,ID,2020-10-31 17:44:05
282,Salalah,17.02,54.09,78.8,31,0,4.7,OM,2020-10-31 17:33:55
283,Marystown,47.17,-55.15,37.99,100,98,8.01,CA,2020-10-31 17:44:05
284,Garowe,8.41,48.48,78.49,60,0,16.98,SO,2020-10-31 17:44:05
285,Roma,43.21,-75.46,42.01,60,90,3.87,US,2020-10-31 17:42:06
286,Auki,-8.77,160.7,78.04,85,31,4.27,SB,2020-10-31 17:36:54
287,Quatre Cocos,-20.21,57.76,69.8,73,40,6.93,MU,2020-10-31 17:37:58
288,Akyab,20.15,92.9,79.54,84,100,5.61,MM,2020-10-31 17:44:05
289,Ardahan,41.11,42.7,50.49,48,96,3.71,TR,2020-10-31 17:44:05
290,Dunedin,-45.87,170.5,50.0,76,0,7.38,NZ,2020-10-31 17:37:32
291,Vao,-22.67,167.48,73.22,81,83,14.83,NC,2020-10-31 17:38:14
292,Cabedelo,-6.98,-34.83,86.0,66,40,13.87,BR,2020-10-31 17:38:02
293,Hobyo,5.35,48.53,82.0,75,99,11.14,SO,2020-10-31 17:36:52
294,Boa Vista,2.82,-60.67,91.4,49,75,5.82,BR,2020-10-31 17:37:57
295,Ulladulla,-35.35,150.47,60.8,100,90,14.99,AU,2020-10-31 17:44:06
296,Tessalit,20.2,1.01,84.78,14,34,8.32,ML,2020-10-31 17:44:06
297,Flin Flon,54.77,-101.86,17.6,78,90,18.34,CA,2020-10-31 17:44:06
298,Tautira,-17.73,-149.15,80.6,65,20,4.7,PF,2020-10-31 17:38:18
299,Poum,-20.23,164.02,77.2,81,58,23.09,NC,2020-10-31 17:37:58
300,Jieshi,22.81,115.83,69.31,75,15,14.9,CN,2020-10-31 17:38:16
301,Tsabong,-26.02,22.4,75.51,48,96,10.38,BW,2020-10-31 17:38:00
302,Huainan,32.63,117.0,61.09,70,79,3.4,CN,2020-10-31 17:41:42
303,Hoa Binh,20.81,105.34,71.6,94,78,4.7,VN,2020-10-31 17:44:06
304,Pamfila,39.16,26.52,64.4,59,0,6.93,GR,2020-10-31 17:44:06
305,Soyo,-6.13,12.37,78.48,84,48,11.12,AO,2020-10-31 17:44:06
306,Rudnaya Pristan,44.36,135.81,44.96,83,86,5.17,RU,2020-10-31 17:44:06
307,Longyearbyen,78.22,15.64,21.2,79,75,3.49,SJ,2020-10-31 17:34:26
